+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
+---------------------------------------------------+
|                 10 |   1 |       NEW |      READY |
|                 10 |   1 |     READY |    RUNNING |
|                 12 |   2 |       NEW |      READY |
|                 15 |   3 |       NEW |      READY |
|                 15 |   1 |   RUNNING |    WAITING |
|                 15 |   2 |     READY |    RUNNING |
|                 17 |   4 |       NEW |      READY |
|                 19 |   2 |   RUNNING |    WAITING |
|                 19 |   3 |     READY |    RUNNING |
|                 20 |   1 |   WAITING |      READY |
|                 20 |   5 |       NEW |      READY |
|                 21 |   3 |   RUNNING |    WAITING |
|                 21 |   1 |     READY |    RUNNING |
|                 23 |   2 |   WAITING |      READY |
|                 26 |   1 |   RUNNING |    WAITING |
|                 26 |   2 |     READY |    RUNNING |
|                 27 |   3 |   WAITING |      READY |
|                 30 |   2 |   RUNNING |    WAITING |
|                 30 |   3 |     READY |    RUNNING |
|                 31 |   1 |   WAITING |      READY |
|                 32 |   3 |   RUNNING |    WAITING |
|                 32 |   1 |     READY |    RUNNING |
|                 34 |   2 |   WAITING |      READY |
|                 37 |   1 |   RUNNING |    WAITING |
|                 37 |   2 |     READY |    RUNNING |
|                 38 |   3 |   WAITING |      READY |
|                 41 |   2 |   RUNNING |    WAITING |
|                 41 |   3 |     READY |    RUNNING |
|                 42 |   1 |   WAITING |      READY |
|                 43 |   3 |   RUNNING |    WAITING |
|                 43 |   1 |     READY |    RUNNING |
|                 45 |   2 |   WAITING |      READY |
|                 48 |   1 |   RUNNING |    WAITING |
|                 48 |   2 |     READY |    RUNNING |
|                 49 |   3 |   WAITING |      READY |
|                 52 |   2 |   RUNNING |    WAITING |
|                 52 |   3 |     READY |    RUNNING |
|                 53 |   1 |   WAITING |      READY |
|                 54 |   3 |   RUNNING |    WAITING |
|                 54 |   1 |     READY |    RUNNING |
|                 56 |   2 |   WAITING |      READY |
|                 59 |   1 |   RUNNING |    WAITING |
|                 59 |   2 |     READY |    RUNNING |
|                 60 |   3 |   WAITING |      READY |
|                 63 |   2 |   RUNNING |    WAITING |
|                 63 |   3 |     READY |    RUNNING |
|                 64 |   1 |   WAITING |      READY |
|                 65 |   3 |   RUNNING |    WAITING |
|                 65 |   1 |     READY |    RUNNING |
|                 67 |   2 |   WAITING |      READY |
|                 70 |   1 |   RUNNING |    WAITING |
|                 70 |   2 |     READY |    RUNNING |
|                 71 |   3 |   WAITING |      READY |
|                 74 |   2 |   RUNNING |    WAITING |
|                 74 |   3 |     READY |    RUNNING |
|                 75 |   1 |   WAITING |      READY |
|                 76 |   3 |   RUNNING |    WAITING |
|                 76 |   1 |     READY |    RUNNING |
|                 78 |   2 |   WAITING |      READY |
|                 81 |   1 |   RUNNING |    WAITING |
|                 81 |   2 |     READY |    RUNNING |
|                 82 |   3 |   WAITING |      READY |
|                 85 |   2 |   RUNNING |    WAITING |
|                 85 |   3 |     READY |    RUNNING |
|                 86 |   1 |   WAITING |      READY |
|                 87 |   3 |   RUNNING |    WAITING |
